name,rating,rating_count,review_count,info
"POCO M7 5G (Mint Green, 128 GB)",4.1,"76,699","3,550","['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5160 mAh Battery', '4 Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"POCO C75 5G (Aqua Bliss, 128 GB)",4.2,"1,57,540","6,823","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5160 mAh Battery', '4s Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"REDMI 14C 5G (Stargaze Black, 128 GB)",4.2,"9,372",462,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5160 mAh Battery', '4 Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)",4.4,"23,684","1,012","['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)",4.5,"81,331","4,745","['8 GB RAM | 128 GB ROM', '16.94 cm (6.67 inch) Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', 'Snapdragon 6 Gen 4 Processor', '80W SUPERVOOC Charger', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",4.4,"49,699","2,564","['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Display', '50MP + 13MP | 32MP Front Camera', '5500 mAh Battery', 'Dimensity 7400 Processor', '68W Charger', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']"
"POCO C75 5G (Enchanted Green, 128 GB)",4.2,"1,57,540","6,823","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5160 mAh Battery', '4s Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 64 GB)",4.4,"46,884","1,346","['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
"Ai+ Pulse 1 (Blue, 64 GB)",4.3,"45,700","2,715","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.13 cm (6.745 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'T615 Processor', '1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories']"
"POCO M7 5G (Ocean Blue, 128 GB)",4.1,"76,699","3,550","['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5160 mAh Battery', '4 Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"Samsung Galaxy M07 (Black, 64 GB)",4.3,109,3,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G99 Processor', '1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase']"
"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.2,"1,27,078","7,690","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 8MP | 16MP Front Camera', '5000 mAh Battery', 'T760 Processor', '12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology', '1 Year on Handset and 6 Months on Accessories']"
"MOTOROLA g05 (Forest Green, 64 GB)",4.2,"80,811","4,829","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5100 mAh Battery', 'Helio G81 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']"
"MOTOROLA g35 5G (Guava Red, 128 GB)",4.2,"9,870",478,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 8MP | 16MP Front Camera', '5000 mAh Battery', 'T760 Processor', '12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology', '1 Year on Handset and 6 Months on Accessories']"
"MOTOROLA G96 5G (Pantone Dresden Blue, 256 GB)",4.4,"90,630","4,584","['8 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 8MP | 32MP Front Camera', '5500 mAh Battery', '7s Gen 2 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']"
"Ai+ Pulse 1 (Green, 128 GB)",4.1,"7,607",430,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.13 cm (6.745 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'T615 Processor', '1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories']"
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)",4.4,"11,033",433,"['4 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Display', '32MP Rear Camera | 8MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
"POCO M7 5G (Ocean Blue, 128 GB)",4.3,"17,284",812,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5160 mAh Battery', '4 Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.2,"21,913","1,417","['6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories']"
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)",4.4,"11,033",433,"['4 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Display', '32MP Rear Camera | 8MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
